Name,SNR,EventRate(Hz)
C000,10.6568,0.280023
C001,16.3688,0.678388
C004,-0.13897,0.590048
C005,-0.658136,0.759506
C006,-0.909747,0.6845
C007,-1.10181,0.607271
C008,-1.25286,2.06461
C009,-0.623782,0.614494
C010,-0.571583,0.938965
C011,-0.845867,0.928964
C012,-0.66455,0.721725
C013,-0.812632,0.921741
C014,0.023849,1.12398
C015,-0.25556,1.07009
C016,-1.10693,1.16009
C017,-0.58251,0.566157
C020,-0.60279,0.692278
C021,-0.307261,0.542822
C022,-0.604659,1.06842
C025,-1.40146,0.574491
C026,-0.164977,1.0962
C027,0.0284451,0.836735
C030,-0.8532,0.893961
C031,-0.230884,0.515597
C032,-0.857871,1.76014
C035,-0.23446,1.26899
C036,-0.608315,0.588381
C037,-0.537762,0.707835
C038,-0.195083,0.691167
C041,-0.15858,2.64799
C042,-1.19471,1.95627
C043,0.235302,0.643386
C046,-0.735153,1.02953
C047,-0.0318643,1.19343
C048,0.45904,1.19287
C049,-1.02125,1.93738
C051,-0.942264,1.51457
C052,-0.703963,0.861181
C053,-0.0509871,0.971745
C054,-0.516268,0.616161
C055,0.00341287,0.759506
C057,-0.571389,1.72403
C059,-0.578431,1.96294
C060,-0.266829,0.931187
C061,-0.237994,1.29955
C062,0.581524,0.788397
C063,-0.44249,0.368363
C064,-0.405857,0.568935
C065,0.0759817,0.667832
C066,0.0669653,3.12859
C068,0.149421,0.662276
C069,-0.362713,1.38178
C071,0.0692891,1.93238
C072,-0.261485,1.32455
C073,-0.403598,1.42178
C074,-0.599164,0.57338
C076,-0.401108,0.488929
C083,-0.345952,0.701724
C085,0.590417,1.49123
C086,-0.609381,0.790064
C090,-0.264911,0.916185
C092,-0.869948,1.26899
C093,-0.0792391,1.29733
C094,-0.117589,0.795065
C096,0.0164687,0.687278
C097,-0.225197,0.896184
C103,-0.144386,1.56124
C104,-0.690165,1.0812
C105,0.0181628,1.34455
C106,-0.236297,1.17009
C107,-0.0508915,0.687834
C118,-0.336688,0.988414
C119,0.193803,0.981191
C120,0.111524,1.04342
C129,-0.0414126,0.882294
C131,-0.187544,1.18676
C132,-0.46167,1.42067
