Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,accepted,255,255,255,525,208,1,20.6155,1
C001,accepted,255,255,255,460,59,1,21.4009,1
C004,accepted,255,255,255,471,298,1,19.7231,1
C005,accepted,255,255,255,472,190,1,19.9249,1
C006,accepted,255,255,255,506,222,1,18.7883,1
C007,accepted,255,255,255,498,37,1,16.4924,1
C008,accepted,255,255,255,529,232,1,19.7231,1
C009,accepted,255,255,255,487,324,1,19.9249,1
C010,accepted,255,255,255,436,326,1,17.0294,1
C011,accepted,255,255,255,423,355,1,21.095,1
C012,accepted,255,255,255,493,286,1,17.088,1
C013,accepted,255,255,255,495,85,1,17.72,1
C014,accepted,255,255,255,490,313,1,17.2047,1
C015,accepted,255,255,255,517,144,1,21.587,1
C016,accepted,255,255,255,537,86,1,21.1896,1
C017,accepted,255,255,255,589,202,1,18.1108,1
C020,accepted,255,255,255,483,228,1,17.2047,1
C021,accepted,255,255,255,536,109,1,18.0278,1
C022,accepted,255,255,255,458,120,1,16.1245,1
C025,accepted,255,255,255,494,297,1,16.1555,1
C026,accepted,255,255,255,462,28,1,17.72,1
C027,accepted,255,255,255,501,170,1,18.4391,1
C030,accepted,255,255,255,475,80,1,16.7631,1
C031,accepted,255,255,255,548,224,1,17.72,1
C032,accepted,255,255,255,495,258,1,18.0278,1
C035,accepted,255,255,255,536,65,1,18.6011,1
C036,accepted,255,255,255,422,342,1,18.0278,1
C037,accepted,255,255,255,487,29,1,17.2047,1
C038,accepted,255,255,255,458,339,1,19.4165,1
C041,accepted,255,255,255,497,273,1,20.1246,1
C042,accepted,255,255,255,472,334,1,18.4391,1
C043,accepted,255,255,255,443,306,1,18.0278,1
C046,accepted,255,255,255,516,193,1,22.561,1
C047,accepted,255,255,255,509,190,1,16.4012,1
C048,accepted,255,255,255,479,72,1,20.2485,1
C049,accepted,255,255,255,488,75,1,18.2483,1
C051,accepted,255,255,255,527,249,1,16.7631,1
C052,accepted,255,255,255,552,141,1,16.5529,1
C053,accepted,255,255,255,506,154,1,19.4165,1
C054,accepted,255,255,255,497,109,1,16.7631,1
C055,accepted,255,255,255,506,257,1,16.6433,1
C057,accepted,255,255,255,534,156,1,17.1172,1
C059,accepted,255,255,255,511,163,1,18.6815,1
C060,accepted,255,255,255,482,173,1,16.1555,1
C061,accepted,255,255,255,548,251,1,17.72,1
C062,accepted,255,255,255,508,309,1,18.7883,1
C063,accepted,255,255,255,474,92,1,16.5529,1
C064,accepted,255,255,255,414,377,1,18.6011,1
C065,accepted,255,255,255,580,117,1,19.7231,1
C066,accepted,255,255,255,509,211,1,19.4165,1
C068,accepted,255,255,255,514,54,1,20.6155,1
C069,accepted,255,255,255,538,133,1,20,1
C071,accepted,255,255,255,499,204,1,17.088,1
C072,accepted,255,255,255,518,97,1,16.4924,1
C073,accepted,255,255,255,496,152,1,19.4165,1
C074,accepted,255,255,255,499,323,1,17.4642,1
C076,accepted,255,255,255,493,248,1,20.6155,1
C083,accepted,255,255,255,515,234,1,20.8806,1
C085,accepted,255,255,255,483,306,1,21.4009,1
C086,accepted,255,255,255,467,198,1,20.5913,1
C090,accepted,255,255,255,507,119,1,19.6469,1
C092,accepted,255,255,255,526,163,1,20.2237,1
C093,accepted,255,255,255,508,65,1,18.0278,1
C094,accepted,255,255,255,499,55,1,18.1108,1
C096,accepted,255,255,255,528,315,1,21.4009,1
C097,accepted,255,255,255,537,206,1,18.0278,1
C103,accepted,255,255,255,486,211,2,17,1
C104,accepted,255,255,255,505,247,1,17.4642,1
C105,accepted,255,255,255,520,271,1,17,1
C106,accepted,255,255,255,513,363,1,20.2485,1
C107,accepted,255,255,255,541,185,1,21.2132,1
C118,accepted,255,255,255,521,177,1,20.0998,1
C119,accepted,255,255,255,515,279,1,19.6469,1
C120,accepted,255,255,255,524,303,1,25.0599,1
C129,accepted,255,255,255,464,303,1,16.7631,1
C131,accepted,255,255,255,469,323,1,17.2047,1
C132,accepted,255,255,255,506,89,1,16.1245,1
