Name,SNR,EventRate(Hz)
C001,-0.480326,0.483942
C002,-0.823759,0.709522
C003,2.46844,0.967328
C004,-0.160242,0.665073
C005,-0.567291,0.65785
C006,-0.0602981,0.673963
C007,0.136522,2.14579
C008,-0.453427,0.624513
C009,-0.815508,0.722301
C010,-0.885959,0.845093
C011,0.140917,0.627291
C012,0.194356,0.61729
C013,-0.853174,0.360039
C014,-0.11764,0.781197
C015,0.356065,0.737859
C016,-0.320863,0.650627
C017,-0.449874,0.632292
C018,-0.280285,0.880096
C019,1.04544,0.737859
C021,-0.737444,1.94688
C024,-0.717997,1.17013
C025,-0.964708,0.497832
C027,0.221454,1.16179
C028,-0.861799,0.981219
C032,-0.378057,0.385042
C034,-0.403237,0.632847
C035,-0.473134,0.731747
C036,0.335591,0.877318
C037,-0.574068,0.622846
C038,0.161509,0.887875
C039,0.00988326,0.867317
C041,-0.1636,1.25292
C042,0.138652,0.718412
C043,0.145824,0.74397
C044,0.316684,1.29903
C045,0.299733,2.07689
C047,-0.21026,0.568396
C051,-0.0479512,1.33181
C052,-0.565481,0.903432
C054,0.211417,1.66352
C055,-0.588762,0.448938
C057,-1.23372,1.46072
C058,0.242548,0.791198
C060,-0.469164,0.570063
C061,-0.498687,1.99689
C062,-0.731907,1.90188
C063,0.183546,1.29403
C064,-0.386878,1.32903
C065,-0.271021,1.07067
C066,-0.554564,1.4646
C067,-0.458195,1.18513
C068,1.37714,0.838425
C069,-0.414718,0.830091
C071,0.192558,1.54239
C072,-0.113607,1.13012
C074,-0.380166,1.61184
C076,-0.194969,0.713412
C077,-1.25547,1.07623
C078,0.312235,1.22124
C080,-0.693591,0.564506
C086,0.0723038,0.805088
C087,-0.362201,0.505055
C092,0.162309,1.41238
C093,-0.13646,1.59629
C097,-0.0199849,1.50683
C102,-0.109629,1.24403
C104,-0.00234491,0.814534
C105,0.0102719,1.51128
C111,0.35261,1.13401
C112,-0.221902,1.13568
C114,-0.0798673,0.32448
C119,-0.00127565,0.807866
C121,0.097686,1.59962
C125,0.103167,0.862317
C127,0.217591,1.28959
C129,0.433174,1.1229
C138,0.208268,1.31459
