Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C001,accepted,255,255,255,473,190,1,19.3132,1
C002,accepted,255,255,255,511,40,1,18.0278,1
C003,accepted,255,255,255,499,37,1,17.2047,1
C004,accepted,255,255,255,448,12,1,20.2485,1
C005,accepted,255,255,255,495,248,1,19.8494,1
C006,accepted,255,255,255,471,298,1,19.7231,1
C007,accepted,255,255,255,530,232,1,20.2485,1
C008,accepted,255,255,255,507,222,1,18.3848,1
C009,accepted,255,255,255,496,86,1,18.1108,1
C010,accepted,255,255,255,491,314,1,17.2047,1
C011,accepted,255,255,255,512,163,1,18.0278,1
C012,accepted,255,255,255,437,327,1,16.4012,1
C013,accepted,255,255,255,550,202,1,16.6433,1
C014,accepted,255,255,255,476,81,1,17,1
C015,accepted,255,255,255,463,29,1,18.4391,1
C016,accepted,255,255,255,508,153,1,18.6815,1
C017,accepted,255,255,255,489,29,1,17,1
C018,accepted,255,255,255,543,277,1,17.4642,1
C019,accepted,255,255,255,425,356,1,21.095,1
C021,accepted,255,255,255,546,163,1,17.4642,1
C024,accepted,255,255,255,490,75,1,17.2627,1
C025,accepted,255,255,255,488,325,1,20.1246,1
C027,accepted,255,255,255,503,140,1,19.4165,1
C028,accepted,255,255,255,494,334,1,17.4929,1
C032,accepted,255,255,255,416,378,1,18.4391,1
C034,accepted,255,255,255,503,171,1,19.2354,1
C035,accepted,255,255,255,495,287,1,17.8885,1
C036,accepted,255,255,255,496,298,1,16.1555,1
C037,accepted,255,255,255,550,224,1,18.2483,1
C038,accepted,255,255,255,539,66,1,19.9249,1
C039,accepted,255,255,255,499,274,1,19.7231,1
C041,accepted,255,255,255,537,109,1,17.72,1
C042,accepted,255,255,255,444,357,1,18.9737,1
C043,accepted,255,255,255,459,339,1,19.2094,1
C044,accepted,255,255,255,449,319,1,16.7631,1
C045,accepted,255,255,255,496,259,1,18.6815,1
C047,accepted,255,255,255,485,306,1,21.4009,1
C051,accepted,255,255,255,542,128,1,19.2354,1
C052,accepted,255,255,255,511,81,1,19.2354,1
C054,accepted,255,255,255,459,121,1,17.1172,1
C055,accepted,255,255,255,481,296,1,18.0278,1
C057,accepted,255,255,255,511,211,1,20,1
C058,accepted,255,255,255,507,247,1,17.4929,1
C060,accepted,255,255,255,498,109,1,16.5529,1
C061,accepted,255,255,255,535,156,1,17.1172,1
C062,accepted,255,255,255,529,250,1,17.2627,1
C063,accepted,255,255,255,519,97,1,16.5529,1
C064,accepted,255,255,255,549,252,1,17.088,1
C065,accepted,255,255,255,498,152,1,19.9249,1
C066,accepted,255,255,255,511,269,1,17.4642,1
C067,accepted,255,255,255,501,205,1,17.2627,1
C068,accepted,255,255,255,539,134,1,19.4165,1
C069,accepted,255,255,255,538,207,1,17.72,1
C071,accepted,255,255,255,480,73,1,20.2485,1
C072,accepted,255,255,255,517,233,1,21.587,1
C074,accepted,255,255,255,474,335,1,17.8045,1
C076,accepted,255,255,255,509,119,1,18.9737,1
C077,accepted,255,255,255,555,275,1,23.4094,1
C078,accepted,255,255,255,518,259,1,17.72,1
C080,accepted,255,255,255,553,142,1,17.1172,1
C086,accepted,255,255,255,501,56,1,17.4642,1
C087,accepted,255,255,255,564,279,1,20.2485,1
C092,accepted,255,255,255,537,303,1,18.868,1
C093,accepted,255,255,255,528,164,1,20.6155,1
C097,accepted,255,255,255,545,308,1,17,1
C102,accepted,255,255,255,469,319,1,17.2047,1
C104,accepted,255,255,255,576,189,1,19.3132,1
C105,accepted,255,255,255,509,65,1,18.6011,1
C111,accepted,255,255,255,523,178,1,20.0998,1
C112,accepted,255,255,255,496,136,1,22.8473,1
C114,accepted,255,255,255,470,385,1,20.5913,1
C119,accepted,255,255,255,514,364,1,20.8087,1
C121,accepted,255,255,255,521,273,1,16.2788,1
C125,accepted,255,255,255,508,332,1,18.3848,1
C127,accepted,255,255,255,451,376,1,20.6155,1
C129,accepted,255,255,255,484,219,1,17.088,1
C138,accepted,255,255,255,526,299,1,22.4722,1
