Name,SNR,EventRate(Hz)
C000,13.6612,0.479497
C005,-0.0717889,0.64507
C007,-0.755333,0.967883
C008,-0.519166,0.625068
C010,-0.0398132,0.352816
C011,-0.453361,0.420601
C012,0.277371,1.1279
C013,-1.24761,1.06956
C014,-0.211929,0.777862
C015,-0.077827,2.12134
C016,-0.192699,0.648959
C017,-0.722718,1.00455
C018,-0.876531,0.857315
C021,-0.604968,0.942325
C023,-0.202917,0.960104
C024,-0.0154987,0.870095
C025,-0.257179,2.07578
C027,0.116397,1.32181
C029,-0.312799,0.744525
C031,-0.0889968,1.30903
C032,-0.476382,0.875651
C034,0.453692,1.25569
C035,-0.382059,2.01911
C040,-0.630781,0.808421
C041,-0.438053,1.33515
C043,0.809468,2.76919
C045,-0.444678,1.61351
C046,-0.293192,1.08456
C047,-0.781484,1.16402
C049,-0.410395,1.0829
C050,0.244437,1.22291
C051,-0.270935,1.21402
C053,-1.15866,0.791753
C054,0.247504,0.919544
C055,-0.444383,0.761194
C056,0.0119345,1.01567
C057,0.354723,0.624512
C058,0.382025,1.82742
C059,0.105139,0.753971
C062,0.200135,0.925101
C063,-0.567247,1.46905
C068,-0.851832,0.993441
C069,-0.88485,1.6324
C072,0.795081,1.40404
C073,0.0372897,1.00344
C075,-0.934645,2.71418
C078,0.0878713,1.1079
C079,0.132058,2.38859
C084,-0.383038,1.11401
C086,-0.487412,1.37571
C087,0.329798,2.72474
C089,-0.630087,1.41126
C091,-0.585123,0.710077
C093,-0.389961,1.64573
C094,0.326401,1.49294
C096,0.0752124,1.57795
C098,-0.0720493,1.9391
C099,-0.393332,1.77186
C101,-0.96597,1.01622
C103,0.0329305,1.01567
C106,-0.539927,1.31959
C109,0.161323,0.723412
C110,-0.266903,0.614511
C114,-0.18177,1.86187
C119,0.151233,1.75075
C122,0.229113,1.88965
C123,-0.0693462,1.76353
C124,-0.663628,0.965661
C133,-0.366891,1.79908
C135,0.068284,0.985107
C136,-0.0695573,0.94288
C140,-0.445484,0.746748
C142,0.516146,0.999553
